source_file,model,sir_id,report_date,incident_date,location_details,dead_confirmed,injured_confirmed,missing_confirmed,dead_possible_min,dead_possible_max,confidenza,evidence_pages,evidenza_testuale,note_contesto
pdfs/pad-2025-00427/Old_Cat.1_SIRs_2017__Doc_1_redacted.pdf,gemini-2.5-flash,10272/2017,2017-01-28,2017-01-24,,1,0,0,,,alta,1,a 22 years old male Egyptian migrant was found unconscious by another migrant in his tent. An immediate called doctor in could only diagnose his death.,"A 22-year-old male Egyptian migrant was found dead in his tent. The cause of death is unknown, pending autopsy and further examinations for possible causes like inhaling fumes or other gases. False information about the death spread in the camp, causing concerns."
pdfs/pad-2025-00427/Old_Cat.1_SIRs_2017__Doc_2_redacted.pdf,gemini-2.5-flash,10292/2017,2017-03-18,2017-03-17,Lesvos SE area,,,,,,alta,1,"Dead persons (empty), Injured persons (empty), Missing persons (empty), Estimated people on board 52","SAR activated for an incident involving 52 estimated people on board a rubber boat. No dead, injured, or missing persons are reported in the dedicated fields or details."
pdfs/pad-2025-00427/Old_Cat.1_SIRs_2017__Doc_2_redacted.pdf,gemini-2.5-flash,10280/2017,2017-02-18,2017-02-14,N of Lesvos Island in GRC territorial waters,,,,,,alta,3,"Dead persons (empty), Injured persons (empty), Missing persons (empty)","Report details a close encounter between a Frontex asset and another entity. No dead, injured, or missing persons are reported in the dedicated fields or details."
pdfs/pad-2025-00427/Old_Cat.1_SIRs_2017__Doc_2_redacted.pdf,gemini-2.5-flash,10279/2017,2017-02-18,2017-02-15,Text removed - Operational Area,,2,,,,alta,5,"Two attempted suicides by UAM in Text removed - Operational Area, two unaccompanied minors (UAM) made suicide attempts, transferred to hospital, No serious injuries were detected.","Two unaccompanied minors (UAM) attempted suicide and were transferred to hospital. The report states 'No serious injuries were detected', implying physical injuries were not severe, but the suicide attempt itself indicates distress."
pdfs/pad-2025-00427/Old_Cat.1_SIRs_2017__Doc_2_redacted.pdf,gemini-2.5-flash,10276/2017,2017-01-30,2017-01-30,"Hotspot, Text removed - Operational Area",1,,,,,alta,7,"Migrant found dead in his tent, there was found a dead body in one of the tents in hotspot, the person was asphyxiated by fumes from ""heating system"".","A migrant was found dead in his tent in a hotspot, reportedly asphyxiated by fumes from a 'heating system'. Frontex staff were not involved."
pdfs/pad-2025-00427/Old_Cat.1_SIRs_2017__Doc_2_redacted.pdf,gemini-2.5-flash,10273/2017,2017-01-28,2017-01-28,Hotspot,1,,,,,alta,9,"Dead body found in Hotspot, there was found dead body in one of the tents. As reported by Hellenic Police Coordinator, the dead person is a 32 year old SYR national, male.","A 32-year-old Syrian national, male, was found dead in a tent in a hotspot. The incident caused tensions among migrants."
pdfs/pad-2025-00427/Old_Cat.1_SIRs_2017__Doc_3_redacted.pdf,gemini-2.5-flash,10207/2017,2017-07-10,2017-07-10,hotspot Text removed - Operational Area,,0,,,,alta,"1,2",up to now no injuries have been reported.,"Violent unrest and fire in a hotspot, but no injuries reported."
pdfs/pad-2025-00427/Old_Cat.1_SIRs_2017__Doc_3_redacted.pdf,gemini-2.5-flash,10156/2017,2017-04-11,2017-04-10,Minors section of RIC Text removed - Operational Area,,0,,,,alta,3,no one was injured.,"Riot in the minors section of RIC, but no injuries reported."
pdfs/pad-2025-00427/Old_Cat.1_SIRs_2017__Doc_3_redacted.pdf,gemini-2.5-flash,10155/2017,2017-04-07,2017-04-06,HotSpot Text removed - Operational Area,,1,,,,alta,5,A Syrian male had a panic attack... The migrant was given immediate medical attention... quickly transported to hospital.,A Syrian male had a panic attack during fingerprinting and was transported to hospital.
pdfs/pad-2025-00427/Old_Cat.1_SIRs_2017__Doc_3_redacted.pdf,gemini-2.5-flash,10154/2017,2017-04-07,2017-04-06,HotSpot Text removed - Reporting Tolls,,0,,,,alta,7,No persons were injured during the incident.,"Fire in a temporary housing container in a hotspot, but no injuries reported."
