sir_id,event_signature,source_rows_in_signature,min_report_date,max_report_date,source_files
10008/2019,"2019-02-05||2019-02-05||Greece||Rural area near Didymoteicho, Greece||land||0||11||0||0",1,2019-02-05,2019-02-05,pdfs/pad-2020-00167/SIR_Part_1.pdf
10009/2019,"2019-02-21||2019-02-21||Samos Island, Greece||Samos Hospital, Samos Island, Greece||facility||0||1||0||0",2,2019-02-21,2019-02-21,pdfs/pad-2020-00078/SirExport_JO_Poseidon_2019_3_Releasable.pdf | pdfs/pad-2020-00217/Doc_5.pdf
10012/2019,"2019-03-07||2019-03-06||East of Samos Island, Turkish SRR||Sea area East of Samos Island, within Turkish SRR||sea||3||0||0||0",2,2019-03-07,2019-03-07,pdfs/pad-2020-00078/SirExport_JO_Poseidon_2019_3_Releasable.pdf | pdfs/pad-2020-00217/Doc_5.pdf
10013/2019,"2019-03-11||2019-03-10||Lesvos Island, Greece||Vatera beach and Agios Theodoros coast, Lesvos Island, Greece||land||2||0||0||0",2,2019-03-11,2019-03-11,pdfs/pad-2020-00078/SirExport_JO_Poseidon_2019_3_Releasable.pdf | pdfs/pad-2020-00217/Doc_5.pdf
10018/2019,"2019-03-21||2019-03-20||Greece||Bridge under construction, Kilkis, Greece||land||0||1||0||0",1,2019-03-21,2019-03-21,pdfs/pad-2020-00167/SIR_Part_1.pdf
10024/2019,"2019-04-08||2019-04-06||Rhodes Island, Greece||Afantou beach and Faliraki beach, Rhodes Island, Greece||land||3||0||0||0",2,2019-04-08,2019-04-08,pdfs/pad-2020-00078/SirExport_JO_Poseidon_2019_3_Releasable.pdf | pdfs/pad-2020-00217/Doc_5.pdf
10025/2019,"2019-04-08||2019-04-08||Greece, Turkey, Serbia (border area), Istanbul||Multiple locations including a detection center, Greek-Turkish border, and a river bank, with movements between Greece and Turkey.||mixed||||||||2",1,2019-04-08,2019-04-08,pdfs/pad-2020-00067-documents/PAD-2020-00067_documents.pdf
10025/2019,2019-04-08||2019-04-08||Greece||Greek side of the Evros river border||land||0||0||0||1,1,2019-04-08,2019-04-08,pdfs/pad-2025-00339/SIR_10025_2019.pdf
10026/2019,"2019-04-09||2019-04-09||Croatia, Bosnia and Herzegovina, Serbia||Borders between Croatia, Bosnia and Herzegovina, and Serbia||land||||||||1",1,2019-04-09,2019-04-09,pdfs/pad-2025-00339/Serious_incident_report_no_-10026_2019.pdf
10027/2019,"2019-04-13||2019-04-12||Chios Island, Greece||Vrontados area, Chios Island, Greece||land||1||0||2||0",2,2019-04-13,2019-04-13,pdfs/pad-2020-00078/SirExport_JO_Poseidon_2019_3_Releasable.pdf | pdfs/pad-2020-00217/Doc_5.pdf
10028/2019,"2019-04-15||2019-04-15||Samos Island, Greece||Sea area and coastal area of Karlovasi, Samos Island, Greece||mixed||1||0||1||0",2,2019-04-15,2019-04-15,pdfs/pad-2020-00078/SirExport_JO_Poseidon_2019_3_Releasable.pdf | pdfs/pad-2020-00217/Doc_5.pdf
10030/2019,"2019-04-18||2019-04-17||Greece||Provincial Road near Didymoteicho, Greece||land||0||3||0||0",1,2019-04-18,2019-04-18,pdfs/pad-2020-00167/SIR_Part_1.pdf
10031/2019,"2019-04-20||2019-04-20||Kos Island, Greece||Crossroad of Ethelonton Polemiston Kos street and Antigonis street, Kos Island, Greece||land||0||0||0||0",2,2019-04-20,2019-04-20,pdfs/pad-2020-00078/SirExport_JO_Poseidon_2019_3_Releasable.pdf | pdfs/pad-2020-00217/Doc_5.pdf
