record_uid,batch,source_file,record_index,model,generated_at_utc,sir_id,report_date,incident_date,location_details,where_clear,location_text_raw,country_or_area,location_type,precision_level,geocodable,geocodable_query,lat,lon,uncertainty_note,dead_confirmed,injured_confirmed,missing_confirmed,dead_possible_min,dead_possible_max,possible_violations_count,context_note,libyan_coast_guard_involved,evidence_quote,confidence,evidence_pages
154,pad-2020-00167,pdfs/pad-2020-00167/SIR_Part_1.pdf,10,gemini-2.5-flash,2026-02-16 23:35:25.70972+01,10008/2019,2019-02-05,2019-02-05,Rural area of Text Removed - Justification 3 village.,"Rural area near Didymoteicho, Greece",0.0000000000,Greece,land,approximate,true,"Didymoteicho, Greece",,,Specific village and rural area are redacted.,0,11,0,0,0,0,"A truck carrying 11 irregular migrants (10 Iraqis, 1 Egyptian) and a Bulgarian facilitator crashed due to high speed in a rural area near a village. All 11 migrants were apprehended and transferred to Didymoteicho hospital for precautionary medical treatment, none seriously injured.",false,a truck Text Removed - Justification 5) had accident due to high speed in Text Removed - Justification 3 village rural area... eleven (11) irregular migrants... All migrants were transferred to Didimoticho hospital for precautionary reasons,high,"23,24"
73,pad-2020-00078,pdfs/pad-2020-00078/SirExport_JO_Poseidon_2019_3_Releasable.pdf,8,gemini-2.5-flash,2026-02-17 08:50:45.26061+01,10009/2019,2019-02-21,2019-02-21,Text Removed - Justification 4 was admitted to Samos Hospital.,"Samos Hospital, Samos Island, Greece",,"Samos Island, Greece",facility,approximate,true,"Samos Hospital, Samos Island, Greece",,,,0,1,0,0,0,0,"Text Removed - Justification 4 was admitted to Samos Hospital, with the symptom of pain in the back; There is suspicious for kidney disease. In the hospital was taken her blood, urine and further examinations are ongoing. Text Removed - Justification 2 is also being informed. Examination in hospital confirmed inflammation. After the antibiotic treatment officer feels fine without pain.",false,"Text Removed - Justification 4 was admitted to Samos Hospital, with the symptom of pain in the back; There is suspicious for kidney disease",high,"17,18"
72,pad-2020-00078,pdfs/pad-2020-00078/SirExport_JO_Poseidon_2019_3_Releasable.pdf,7,gemini-2.5-flash,2026-02-17 08:50:45.26061+01,10012/2019,2019-03-07,2019-03-06,09 rescued migrants and 03 casualties. Sea area East of Samos island inside Turkish SRR.,"Sea area East of Samos Island, within Turkish SRR",,"East of Samos Island, Turkish SRR",sea,exact,true,"37.7166666667, 27.1000000000",37.7166666667,27.1,,3,0,0,0,0,0,"On 6/03/2019 at 22:18 LT JRCC Piraeus received a call about a boat with POB in distress at the sea area East of Samos island inside Turkish SRR. Immediately JRCC Piraeus informed MRCC Ankara and simultaneously a SAR Operation was launched with the participation Text Removed - Justification 6. At 00:35 LT Text Removed - Justification 6 detected and rescued 08 persons, one (01) of them was found semiconscious while Text Removed - Justification 6 rescued 03 persons and one of them was found semiconscious too. At 05:43 Text Removed - Justification 6 recovered a dead body that was transferred to Text Removed - Justification 6. All people were transferred to the hospital where the death of two people was confirmed. According to the rescued people's statements there are no any other missing person. JRCC Piraeus informed MRCC Ankara and simultaneously a SAR Operation was launched with the participation Text Removed - Justification 6. 09 rescued migrants (04 women,04 men and 01 minor female) A SAR incident with 09 rescued migrants and 03 casualties. According to the rescued people's statements there are no any other missing persons.",false,On 6/03/2019 at 22:18 LT JRCC Piraeus received a call about a boat with POB in distress at the sea area East of Samos island inside Turkish SRR. ... All people were transferred to the hospital where the death of two people was confirmed. ... A SAR incident with 09 rescued migrants and 03 casualties.,high,"15,16"
71,pad-2020-00078,pdfs/pad-2020-00078/SirExport_JO_Poseidon_2019_3_Releasable.pdf,6,gemini-2.5-flash,2026-02-17 08:50:45.26061+01,10013/2019,2019-03-11,2019-03-10,"2 dead bodies found in Lesvos, one of them headless. Beach Vatera, Lesvos Island. Rocky area of the coast Agios Theodoros, Lesvos Island.","Vatera beach and Agios Theodoros coast, Lesvos Island, Greece",,"Lesvos Island, Greece",land,approximate,true,"Vatera beach, Lesvos Island, Greece; Agios Theodoros coast, Lesvos Island, Greece",,,,2,0,0,0,0,0,"1st incident - 10/03/2019 morning hours remains of an unidentified girl were found on the beach Vatera, Lesvos Island. 2nd incident - 10/03/2019 midday another body of female was spotted in a rocky are of the coast Agios Theodoros, Lesvos Island. 1st incident - Port Authority of Plomari ordered the execution of autopsy at the General Hospital of Mytilene ""Vostaneio"". 2nd incident - Port Authority of Mithymna ordered the execution of autopsy at the General Hospital of Mytilene ""Vostaneio"". Preliminary assesment on 1st incident girl, 4-6 years old, 0,85m tall, normal physical bodybuilding. Preliminary assesment on 2nd incident female, unknown age, 1,60m tall, normal physical bodybuilding. Pending autopsy results in both cases. Investigation ongoing in both cases.",false,"1st incident - 10/03/2019 morning hours remains of an unidentified girl were found on the beach Vatera, Lesvos Island. 2nd incident - 10/03/2019 midday another body of female was spotted in a rocky are of the coast Agios Theodoros, Lesvos Island.",high,"13,14"
153,pad-2020-00167,pdfs/pad-2020-00167/SIR_Part_1.pdf,9,gemini-2.5-flash,2026-02-16 23:35:25.70972+01,10018/2019,2019-03-21,2019-03-20,"Bridge under construction, where a migrant fell into a gap.","Bridge under construction, Kilkis, Greece",Text Removed - Justification 3,Greece,land,approximate,true,"Kilkis, Greece",,,Specific bridge location is redacted.,0,1,0,0,0,0,"A Pakistani migrant accidentally fell several meters down a gap in a bridge under construction, sustaining injuries requiring hand surgery. He was hospitalized in Thessaloniki, then Kilkis, and is expected to be released soon.",false,a migrant accidentally fell several metres down a gap in a bridge under construction.,high,"21,22"
70,pad-2020-00078,pdfs/pad-2020-00078/SirExport_JO_Poseidon_2019_3_Releasable.pdf,5,gemini-2.5-flash,2026-02-17 08:50:45.26061+01,10024/2019,2019-04-08,2019-04-06,3 dead bodies found in Rhodes Island. Afantou beach (eastern side of the island) and Faliraki beach.,"Afantou beach and Faliraki beach, Rhodes Island, Greece",,"Rhodes Island, Greece",land,approximate,true,"Afantou beach, Rhodes Island, Greece; Faliraki beach, Rhodes Island, Greece",,,,3,0,0,0,0,0,"On 8 April, Text Removed - Justification 2 Coordinator informed that on 6th and 7th April, 3 dead men bodies fully clothes were found on two Rhodes's beaches. The first body was found on Saturday afternoon at Afantou beach (eastern side of the island). A second body was found on Sunday morning at the same beach and the third corpse was discovered on Sunday at Faliraki beach. Autopsies will be performed to determine the cause of death and to discover if they were migrants coming from Turkey.",false,"on 6th and 7th April, 3 dead men bodies fully clothes were found on two Rhodes's beaches. The first body was found on Saturday afternoon at Afantou beach (eastern side of the island). A second body was found on Sunday morning at the same beach and the third corpse was discovered on Sunday at Faliraki beach.",high,"11,12"
641,pad-2025-00339,pdfs/pad-2025-00339/SIR_10025_2019.pdf,0,gemini-2.5-flash,2026-02-17 13:19:00.281823+01,10025/2019,2019-04-08,2019-04-08,"Border with Greece, specifically on the Greek side of a river (likely Evros) after crossing from Turkey.",Greek side of the Evros river border,"border with Greece, the river, Greek side of the river",Greece,land,approximate,true,Evros river border Greece,,,"Specific point on the river border not identified, but clearly on the Greek side.",0,0,0,0,0,1,"An Afghan male migrant and 11 others traveled from Istanbul to the Greek border. They crossed a river and were apprehended on the Greek side. Mobile phones were confiscated from 6 migrants without any protocol or document, leading to an alleged Fundamental Right violation report.",false,"While they were crossing the river, they were apprehended by Text Removed - Reporting Tools. On the Greek side of the river Text Removed - Human Resources took from migrants their mobile phones. The interviewee emphasized that he didn't want to give them phone, because it was new one. Moreover, the Text Removed - Reporting Tools took mobile phones from 6 migrants, without giving any protocol or document describing that confiscation.",medium,"1,2"
646,pad-2025-00339,pdfs/pad-2025-00339/Serious_incident_report_no_-10026_2019.pdf,0,gemini-2.5-flash,2026-02-17 13:20:37.130194+01,10026/2019,2019-04-09,2019-04-09,"Alleged push-backs from Croatia to Bosnia and Herzegovina and Serbia, specifically at the borders between these countries.","Borders between Croatia, Bosnia and Herzegovina, and Serbia",,"Croatia, Bosnia and Herzegovina, Serbia",land,broad,true,"Borders of Croatia, Bosnia and Herzegovina, Serbia",,,"The specific location is broad, referring to the borders between three countries. Latitude and Longitude fields show 0.0000000000, which is a placeholder.",,,,,,1,"NGOs allegedly pushed back from Croatia to Bosnia and Herzegovina and Serbia. A group of 30 MEPs called upon the Commission to take action against alleged push-backs based on reports from various NGOs (No Name Kitchen, Are you Syrious, Human Rights Watch, Border Violence Monitoring, Amnesty International, Médecins sans Frontières). One NGO claimed 10,000 migrants were ejected from Croatia in 2018, and testimonies indicate systematic collective push-backs from EU territory.",false,NGOs allegedly pushed back from Croatia to Bosnia and Herzegovina and Serbia,medium,1
69,pad-2020-00078,pdfs/pad-2020-00078/SirExport_JO_Poseidon_2019_3_Releasable.pdf,4,gemini-2.5-flash,2026-02-17 08:50:45.26061+01,10027/2019,2019-04-13,2019-04-12,"Corpse found in Chios Island. Area of Vrontados (North of Chios town) on the rocks, adjacent to the sea.","Vrontados area, Chios Island, Greece",,"Chios Island, Greece",land,approximate,true,"Vrontados, Chios Island, Greece",,,,1,0,2,0,0,0,"On 12.04.2019-15h00 LT, in the area of Vrontados (North of Chios town) a dead body was found on the rocks, adjacent to the sea. In accordance with the information received, the body found could be connected with an incident that occurred on the 28.03.2019, in which 36 migrants landed in Chios Island and reported that 2 people were missing (SAR operation was launched to locate the alleged 2 missing people without positive results). The identification of the corpse is ongoing.",false,"On 12.04.2019-15h00 LT, in the area of Vrontados (North of Chios town) a dead body was found on the rocks, adjacent to the sea. ... reported that 2 people were missing (SAR operation was launched to locate the alleged 2 missing people without positive results).",high,"9,10"
68,pad-2020-00078,pdfs/pad-2020-00078/SirExport_JO_Poseidon_2019_3_Releasable.pdf,3,gemini-2.5-flash,2026-02-17 08:50:45.26061+01,10028/2019,2019-04-15,2019-04-15,Corpse found in the sea at Samos Island. Sea area of Karlovasi at Samos Island. Coastal area of Karlovasi port.,"Sea area and coastal area of Karlovasi, Samos Island, Greece",,"Samos Island, Greece",mixed,approximate,true,"Karlovasi, Samos Island, Greece",,,,1,0,1,0,0,0,"Text Removed - Justification 4 informed that according to information provided by HCG: On 14.04.2019-07:40 LT, a female dead body, African origin, was discovered by a fishing boat in the sea area of Karlovasi at Samos Island. On the same day at 05:40 LT, 51 migrants were detected by the HCG at the coastal area of Karlovasi port, according to migrants statements 1 person was missing.",false,"On 14.04.2019-07:40 LT, a female dead body, African origin, was discovered by a fishing boat in the sea area of Karlovasi at Samos Island. ... according to migrants statements 1 person was missing.",high,"7,8"
