record_uid,sir_id,source_file,violation_index,violation_name,legal_basis,assessment
641,10025/2019,pdfs/pad-2025-00339/SIR_10025_2019.pdf,0,Confiscation of mobile phones without protocol,Fundamental Rights,possible
646,10026/2019,pdfs/pad-2025-00339/Serious_incident_report_no_-10026_2019.pdf,0,Alleged violations of Fundamental Rights or international protection obligations,,possible
642,10036/2019,pdfs/pad-2025-00339/SIR_10036_2019.pdf,0,Pushback,,possible
642,10036/2019,pdfs/pad-2025-00339/SIR_10036_2019.pdf,1,Collective expulsion,Article 19 of the EU Charter,likely
642,10036/2019,pdfs/pad-2025-00339/SIR_10036_2019.pdf,2,Lack of access to effective remedy,,likely
642,10036/2019,pdfs/pad-2025-00339/SIR_10036_2019.pdf,3,Ill-treatment/Physical violence,,possible
642,10036/2019,pdfs/pad-2025-00339/SIR_10036_2019.pdf,4,Confiscation of belongings,,possible
643,10048/2019,pdfs/pad-2025-00339/SIR_10048_2019.pdf,0,Alleged violations of Fundamental Rights or international protection obligations,,possible
643,10048/2019,pdfs/pad-2025-00339/SIR_10048_2019.pdf,1,"Threats, beating, attack of dogs, robbery and violent deportation from Bulgaria to Greece",,possible
643,10048/2019,pdfs/pad-2025-00339/SIR_10048_2019.pdf,2,"Physical abuse, including possible dog bites",,possible
655,10064/2019,pdfs/pad-2025-00371/10064-2019.pdf,0,Situations of alleged violations of Fundamental Rights or international protection obligations,,not_stated
655,10064/2019,pdfs/pad-2025-00371/10064-2019.pdf,1,potential violation of human rights,,not_stated
655,10064/2019,pdfs/pad-2025-00371/10064-2019.pdf,2,right to life,,possible
655,10064/2019,pdfs/pad-2025-00371/10064-2019.pdf,3,integrity,,possible
655,10064/2019,pdfs/pad-2025-00371/10064-2019.pdf,4,asylum,,possible
655,10064/2019,pdfs/pad-2025-00371/10064-2019.pdf,5,human dignity,Article 1 of the EU Charter,likely
655,10064/2019,pdfs/pad-2025-00371/10064-2019.pdf,6,prohibition of torture and inhuman and degrading treatment,Article 4 of the EU Charter,likely
655,10064/2019,pdfs/pad-2025-00371/10064-2019.pdf,7,collective expulsion,Article 19 of the EU Charter,likely
655,10064/2019,pdfs/pad-2025-00371/10064-2019.pdf,8,prohibition of refoulement,Article 19 of the EU Charter,likely
655,10064/2019,pdfs/pad-2025-00371/10064-2019.pdf,9,access to an effective remedy,Article 47 of the EU Charter,likely
656,10070/2019,pdfs/pad-2025-00371/10070-2019.pdf,0,Alleged violations of Fundamental Rights or international protection obligations,Fundamental Rights or international protection obligations,possible
656,10070/2019,pdfs/pad-2025-00371/10070-2019.pdf,1,Threats,,possible
656,10070/2019,pdfs/pad-2025-00371/10070-2019.pdf,2,Beating,,possible
656,10070/2019,pdfs/pad-2025-00371/10070-2019.pdf,3,Dog biting,,possible
656,10070/2019,pdfs/pad-2025-00371/10070-2019.pdf,4,Robbery,,possible
656,10070/2019,pdfs/pad-2025-00371/10070-2019.pdf,5,Violent deportation,,possible
656,10070/2019,pdfs/pad-2025-00371/10070-2019.pdf,6,Forced nudity/humiliation,,possible
656,10070/2019,pdfs/pad-2025-00371/10070-2019.pdf,7,Confiscation of personal belongings (phones),,possible
656,10070/2019,pdfs/pad-2025-00371/10070-2019.pdf,8,Burning of personal belongings,,possible
626,10137/2020,pdfs/pad-2025-00339/10137-2020_redacted.pdf,0,Protection of personal data,EU Charter of Fundamental Rights and its Article 8 (2),possible
626,10137/2020,pdfs/pad-2025-00339/10137-2020_redacted.pdf,1,Prohibition of torture and inhuman or degrading treatment or punishment,EU Charter of Fundamental Rights and its Article 4,possible
626,10137/2020,pdfs/pad-2025-00339/10137-2020_redacted.pdf,2,Behavioural Standards,Frontex Code of Conduct applicable to all persons participating in Frontex operational activities: Article 10 (b),possible
644,10142/2018,pdfs/pad-2025-00339/SIR_10142_2018.pdf,0,Alleged violations of Fundamental Rights or international protection obligations,,possible
644,10142/2018,pdfs/pad-2025-00339/SIR_10142_2018.pdf,1,Push Back,,possible
644,10142/2018,pdfs/pad-2025-00339/SIR_10142_2018.pdf,2,Assault,,possible
644,10142/2018,pdfs/pad-2025-00339/SIR_10142_2018.pdf,3,Theft,,possible
645,10149/2018,pdfs/pad-2025-00339/SIR_10149_2018.pdf,0,Alleged pushback by Greek Police resulting in deaths,,possible
529,10152/2024,pdfs/pad-2024-00314/SIR_10152-2024_Final_Report_rps.pdf,0,Prohibition of inhuman or degrading treatment,Article 3 of the European Convention on Human Rights,possible
529,10152/2024,pdfs/pad-2024-00314/SIR_10152-2024_Final_Report_rps.pdf,1,Protection of property,Article 1 of Protocol No 1 to the European Convention on Human Rights,possible
529,10152/2024,pdfs/pad-2024-00314/SIR_10152-2024_Final_Report_rps.pdf,2,Prohibition of collective expulsion,Article 4 of Protocol No 4 to the European Convention on Human Rights,likely
